,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_value,params_delta,params_dropout,params_epochs,params_gamma,params_hidden_size,params_learning_rate,params_num_layers,params_patience,params_step_size,params_threshold,state
46,46,0.20834863185882568,2024-09-30 12:15:55.530430,2024-09-30 12:18:38.737918,0 days 00:02:43.207488,128,0.7000000000000001,0.0,0.38916888042417574,200,0.6935995964611184,384,0.01841979876639344,1,10,20,0.30000000000000004,COMPLETE
47,47,0.12858928740024567,2024-09-30 12:18:38.752746,2024-09-30 12:20:02.154472,0 days 00:01:23.401726,64,0.9,0.0,0.3757307224522261,200,0.8016574076216858,384,0.005969480499806474,1,10,20,0.30000000000000004,COMPLETE
48,48,0.08602017164230347,2024-09-30 12:20:02.186270,2024-09-30 12:21:21.595836,0 days 00:01:19.409566,264,0.7000000000000001,0.0,0.4314191234244287,200,0.7502416175771107,256,0.0024398366743528994,1,10,20,0.4,COMPLETE
49,49,0.4356176555156708,2024-09-30 12:21:21.604610,2024-09-30 12:22:06.693823,0 days 00:00:45.089213,128,0.7000000000000001,0.0,0.23134377591232436,200,0.8347730956764087,384,0.002834607958810563,3,15,5,0.4,COMPLETE
50,50,0.43837282061576843,2024-09-30 12:22:06.702959,2024-09-30 12:22:20.948287,0 days 00:00:14.245328,64,0.9,0.0,0.33935528889182837,200,0.6234508896114048,384,0.03224882328222803,1,10,20,0.1,COMPLETE
51,51,0.09455852955579758,2024-09-30 12:22:20.958849,2024-09-30 12:23:56.104774,0 days 00:01:35.145925,128,0.7000000000000001,0.0,0.41140017741876606,200,0.8872699597446788,256,0.00025258286951021427,1,10,15,0.2,COMPLETE
52,52,0.10732133686542511,2024-09-30 12:23:56.265336,2024-09-30 12:25:23.649271,0 days 00:01:27.383935,128,0.5,0.0,0.39692810069566675,200,0.7046325588306553,384,0.0006020074390403952,2,10,20,0.4,COMPLETE
53,53,0.038155194371938705,2024-09-30 12:25:23.659324,2024-09-30 12:26:53.832141,0 days 00:01:30.172817,128,0.5,0.0,0.3230310129522384,200,0.4921083106898011,384,0.0014072109520241423,1,10,20,0.4,COMPLETE
54,54,0.010254379361867905,2024-09-30 12:26:53.839772,2024-09-30 12:28:45.062689,0 days 00:01:51.222917,128,0.5,0.0,0.328693634445413,200,0.6603671689102271,384,0.0015209165905619407,1,10,20,0.4,COMPLETE
55,55,0.01719474233686924,2024-09-30 12:28:45.063725,2024-09-30 12:30:05.982615,0 days 00:01:20.918890,128,0.5,0.0,0.3215026691736644,200,0.6604192437457999,384,0.0015933640274848754,1,10,20,0.4,COMPLETE
56,56,0.011828018352389336,2024-09-30 12:30:06.006879,2024-09-30 12:31:48.640349,0 days 00:01:42.633470,128,0.5,0.0,0.3209097799312518,200,0.6575745398278017,384,0.0014028637076558311,1,10,20,0.4,COMPLETE
57,57,0.014677713625133038,2024-09-30 12:31:48.641377,2024-09-30 12:33:56.183444,0 days 00:02:07.542067,128,0.5,0.0,0.30755660930219336,200,0.6508218610553447,384,0.0004585644957989112,1,10,20,0.4,COMPLETE
58,58,0.14088784158229828,2024-09-30 12:33:56.184534,2024-09-30 12:40:41.211752,0 days 00:06:45.027218,512,0.5,0.0,0.307024156279128,200,0.6571000680126149,384,0.0004352241461436456,2,10,20,0.4,COMPLETE
59,59,0.17675840854644775,2024-09-30 12:40:41.219416,2024-09-30 12:44:16.940534,0 days 00:03:35.721118,128,0.5,0.0,0.27926379453522376,200,0.6018451652159236,384,0.0008035462055403695,1,10,5,0.4,COMPLETE
60,60,0.011123968288302422,2024-09-30 12:44:16.949117,2024-09-30 12:45:45.541275,0 days 00:01:28.592158,128,0.30000000000000004,0.0,0.3222079625379886,200,0.7329277995057355,384,0.0018163381681103985,1,10,15,0.4,COMPLETE
61,61,0.4387150704860687,2024-09-30 12:45:45.549190,2024-09-30 12:46:01.767431,0 days 00:00:16.218241,64,0.30000000000000004,0.0,0.2480304161728343,200,0.7276245276468336,384,0.0018169064038573775,2,10,10,0.5,COMPLETE
62,62,0.05140675604343414,2024-09-30 12:46:01.768342,2024-09-30 12:50:42.666994,0 days 00:04:40.898652,264,0.30000000000000004,0.0,0.31653969335418186,200,0.6540809646622162,384,0.0006386496483054198,1,10,15,0.4,COMPLETE
63,63,0.024910472333431244,2024-09-30 12:50:42.675344,2024-09-30 12:51:46.327997,0 days 00:01:03.652653,128,0.5,0.0,0.33049929169990644,200,0.5843262772526565,384,0.0016181148300112665,1,10,20,0.4,COMPLETE
64,64,0.012863356620073318,2024-09-30 12:51:46.336873,2024-09-30 12:53:57.035036,0 days 00:02:10.698163,128,0.5,0.0,0.30464920122241945,200,0.6720465013242599,384,0.0009023671942384148,1,10,15,0.4,COMPLETE
65,65,0.11766263842582703,2024-09-30 12:53:57.041885,2024-09-30 12:57:32.757449,0 days 00:03:35.715564,128,0.5,0.0,0.2996070450947276,200,0.6771496664730996,384,0.0001951813328786554,1,10,15,0.4,COMPLETE
66,66,0.02941727079451084,2024-09-30 12:57:32.764920,2024-09-30 12:58:57.019352,0 days 00:01:24.254432,128,0.30000000000000004,0.0,0.2813969795706479,200,0.7248046952923509,384,0.0020925671801734075,1,10,15,0.5,COMPLETE
67,67,0.055281925946474075,2024-09-30 12:58:57.027931,2024-09-30 13:00:28.957641,0 days 00:01:31.929710,128,0.5,0.0,0.3089805293241492,200,0.6323172614684855,384,0.004845172234737006,1,10,15,0.4,COMPLETE
